SYMBOL,TOTTRDQTY,TIMESTAMP
IGL,4635232,15-Apr-20
INDIGO,2851947,15-Apr-20
INDUSINDBK,28312005,15-Apr-20
INFRATEL,4525878,15-Apr-20
INFY,11963493,15-Apr-20
IOC,13661968,15-Apr-20
ITC,49092959,15-Apr-20
JINDALSTEL,33151508,15-Apr-20
JSWSTEEL,17616485,15-Apr-20
JUBLFOOD,1938008,15-Apr-20
JUSTDIAL,4576002,15-Apr-20
KOTAKBANK,9045751,15-Apr-20
L&TFH,12542359,15-Apr-20
LICHSGFIN,4768725,15-Apr-20
LT,10435586,15-Apr-20
LUPIN,7000858,15-Apr-20
M&M,11300959,15-Apr-20
M&MFIN,5875475,15-Apr-20
MANAPPURAM,8452762,15-Apr-20
MARICO,4785567,15-Apr-20
MARUTI,2094529,15-Apr-20
MCDOWELL-N,4778240,15-Apr-20
MFSL,4990393,15-Apr-20
MGL,864920,15-Apr-20
MINDTREE,829830,15-Apr-20
MOTHERSUMI,46705442,15-Apr-20
MRF,17187,15-Apr-20
MUTHOOTFIN,4472814,15-Apr-20
NATIONALUM,10938462,15-Apr-20
NAUKRI,691806,15-Apr-20
NCC,68724181,15-Apr-20
NESTLEIND,155579,15-Apr-20
NIITTECH,506393,15-Apr-20
NMDC,6026142,15-Apr-20
NTPC,24128026,15-Apr-20
OIL,3474252,15-Apr-20
ONGC,22311692,15-Apr-20
PAGEIND,42728,15-Apr-20
PEL,2320567,15-Apr-20
PETRONET,4072547,15-Apr-20
PFC,7944539,15-Apr-20
PIDILITIND,1706028,15-Apr-20
PNB,22095563,15-Apr-20
POWERGRID,14203445,15-Apr-20
PVR,2267773,15-Apr-20
RAMCOCEM,1621621,15-Apr-20
RBLBANK,28186170,15-Apr-20
RECLTD,7956615,15-Apr-20
RELIANCE,16147959,15-Apr-20
SAIL,25214418,15-Apr-20
SBIN,72190294,15-Apr-20
SHREECEM,125808,15-Apr-20
SIEMENS,756827,15-Apr-20
SRF,399510,15-Apr-20
SRTRANSFIN,3312255,15-Apr-20
SUNPHARMA,32508977,15-Apr-20
SUNTV,2576147,15-Apr-20
TATACHEM,3193041,15-Apr-20
TATACONSUM,5721837,15-Apr-20
TATAMOTORS,81126343,15-Apr-20
TATAPOWER,8243453,15-Apr-20
TATASTEEL,20991943,15-Apr-20
TCS,4761401,15-Apr-20
TECHM,6316300,15-Apr-20
TITAN,5502744,15-Apr-20
TORNTPHARM,1034987,15-Apr-20
TORNTPOWER,2472284,15-Apr-20
TVSMOTOR,5152327,15-Apr-20
UBL,738500,15-Apr-20
UJJIVAN,6708089,15-Apr-20
ULTRACEMCO,1239945,15-Apr-20
UPL,22250838,15-Apr-20
VEDL,43610924,15-Apr-20
VOLTAS,4126644,15-Apr-20
WIPRO,11326600,15-Apr-20
YESBANK,39619400,15-Apr-20
ZEEL,26563975,15-Apr-20
ACC,1548843,16-Apr-20
ADANIENT,2685695,16-Apr-20
ADANIPORTS,3267294,16-Apr-20
ADANIPOWER,5450088,16-Apr-20
AMARAJABAT,826820,16-Apr-20
AMBUJACEM,6792496,16-Apr-20
APOLLOHOSP,1281809,16-Apr-20
APOLLOTYRE,15986544,16-Apr-20
ASHOKLEY,29831697,16-Apr-20
ASIANPAINT,1821296,16-Apr-20
AUROPHARMA,9906385,16-Apr-20
AXISBANK,42344581,16-Apr-20
BAJAJ-AUTO,944581,16-Apr-20
BAJAJFINSV,747354,16-Apr-20
BAJFINANCE,7246740,16-Apr-20
BALKRISIND,1265667,16-Apr-20
BANDHANBNK,22001767,16-Apr-20
BANKBARODA,19193391,16-Apr-20
BATAINDIA,1351651,16-Apr-20
BEL,23532178,16-Apr-20
BERGEPAINT,1476905,16-Apr-20
BHARATFORG,2238188,16-Apr-20
BHARTIARTL,17082242,16-Apr-20
BHEL,27540878,16-Apr-20
BIOCON,9196409,16-Apr-20
