SYMBOL,EXPIRY_DT,OPEN_INT,CHG_IN_OI,TIMESTAMP,HighCOI%
TITAN,30-Apr-2020,73500.0,-2250.0,05-MAR-2020,-3.061224489795918
TORNTPHARM,26-Mar-2020,349500.0,3000.0,05-MAR-2020,0.8583690987124464
TORNTPHARM,30-Apr-2020,4000.0,1500.0,05-MAR-2020,37.5
TORNTPOWER,26-Mar-2020,3567000.0,39000.0,05-MAR-2020,1.0933557611438183
TORNTPOWER,30-Apr-2020,30000.0,6000.0,05-MAR-2020,20.0
TVSMOTOR,26-Mar-2020,4561650.0,31050.0,05-MAR-2020,0.6806747558449245
TVSMOTOR,30-Apr-2020,59400.0,2700.0,05-MAR-2020,4.545454545454546
UBL,26-Mar-2020,1277500.0,-78400.0,05-MAR-2020,-6.136986301369863
UBL,30-Apr-2020,26600.0,-700.0,05-MAR-2020,-2.631578947368421
UJJIVAN,26-Mar-2020,4646100.0,-166600.0,05-MAR-2020,-3.5858031467252105
UJJIVAN,28-May-2020,10200.0,1700.0,05-MAR-2020,16.666666666666664
ULTRACEMCO,26-Mar-2020,2369400.0,9400.0,05-MAR-2020,0.3967249092597282
ULTRACEMCO,30-Apr-2020,11000.0,1600.0,05-MAR-2020,14.545454545454545
UPL,26-Mar-2020,13919400.0,55800.0,05-MAR-2020,0.40087934824776933
UPL,28-May-2020,8100.0,3600.0,05-MAR-2020,44.44444444444444
VEDL,26-Mar-2020,66230500.0,4144000.0,05-MAR-2020,6.256936003804893
VEDL,30-Apr-2020,1977500.0,91000.0,05-MAR-2020,4.601769911504425
VEDL,28-May-2020,52500.0,-3500.0,05-MAR-2020,-6.666666666666667
VOLTAS,26-Mar-2020,2708000.0,-122000.0,05-MAR-2020,-4.5051698670605616
VOLTAS,30-Apr-2020,43000.0,5000.0,05-MAR-2020,11.627906976744185
VOLTAS,28-May-2020,5000.0,4000.0,05-MAR-2020,80.0
WIPRO,26-Mar-2020,16377600.0,-208000.0,05-MAR-2020,-1.2700273544353264
WIPRO,30-Apr-2020,313600.0,3200.0,05-MAR-2020,1.0204081632653061
YESBANK,26-Mar-2020,262644800.0,-38209600.0,05-MAR-2020,-14.54801313408832
YESBANK,30-Apr-2020,31002400.0,-5526400.0,05-MAR-2020,-17.825716718705646
YESBANK,28-May-2020,1874400.0,1856800.0,05-MAR-2020,99.06103286384976
ZEEL,26-Mar-2020,24204600.0,969000.0,05-MAR-2020,4.003371260008428
ZEEL,30-Apr-2020,202300.0,39100.0,05-MAR-2020,19.327731092436977
ZEEL,28-May-2020,13600.0,5100.0,05-MAR-2020,37.5
BANKNIFTY,05-Mar-2020,80.0,80.0,05-MAR-2020,100.0
BANKNIFTY,05-Mar-2020,140.0,100.0,05-MAR-2020,71.42857142857143
BANKNIFTY,05-Mar-2020,80.0,60.0,05-MAR-2020,75.0
BANKNIFTY,05-Mar-2020,20.0,20.0,05-MAR-2020,100.0
BANKNIFTY,05-Mar-2020,540.0,120.0,05-MAR-2020,22.22222222222222
BANKNIFTY,05-Mar-2020,4880.0,3620.0,05-MAR-2020,74.18032786885246
BANKNIFTY,05-Mar-2020,2900.0,1940.0,05-MAR-2020,66.89655172413794
BANKNIFTY,05-Mar-2020,23600.0,-13760.0,05-MAR-2020,-58.30508474576271
BANKNIFTY,05-Mar-2020,13240.0,4820.0,05-MAR-2020,36.40483383685801
BANKNIFTY,05-Mar-2020,12300.0,-4320.0,05-MAR-2020,-35.12195121951219
BANKNIFTY,05-Mar-2020,11840.0,-8760.0,05-MAR-2020,-73.98648648648648
BANKNIFTY,05-Mar-2020,20700.0,-19240.0,05-MAR-2020,-92.94685990338164
BANKNIFTY,05-Mar-2020,42280.0,-170120.0,05-MAR-2020,-402.36518448438983
BANKNIFTY,05-Mar-2020,39340.0,-65840.0,05-MAR-2020,-167.3614641586172
BANKNIFTY,05-Mar-2020,58280.0,-57320.0,05-MAR-2020,-98.35277968428278
BANKNIFTY,05-Mar-2020,319540.0,105020.0,05-MAR-2020,32.865994867622206
BANKNIFTY,05-Mar-2020,1196520.0,1029660.0,05-MAR-2020,86.05455821883461
BANKNIFTY,05-Mar-2020,1527760.0,898940.0,05-MAR-2020,58.84039377912761
BANKNIFTY,05-Mar-2020,708160.0,509440.0,05-MAR-2020,71.9385449615906
